

  1r          |                       |    |    |    |(I )(I )      |     
3596: *#       |                       |    |#   |    |(RD)(TC)      |     
3597: *#       |                       |    |#   |    |(W )(RD)      |     
3598: *0000030c|                       |    |lw  |    |(W )(W )      |     
3599: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3600: *#       |                       |lw  |    |    |(TC)(I )      |     
3601: *#       |                       |    |#   |    |(RD)(TC)      |     
3602: *#       |                       |    |#   |    |(W )(RD)      |     
3603: *00000310|                       |    |lw  |    |(W )(W )      |     
3604: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3605: *#       |                       |addi|    |    |(TC)(I )      |     
3606: *#       |                       |    |addi|    |(RD)(I )      |     
3607: *00000314|                       |    |    |addi|(W )(I )      |     
3608: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3609: *#       |                       |addi|    |    |(TC)(I )      |     
3610: *#       |                       |    |addi|    |(RD)(I )      |     
3611: *00000318|                       |    |    |addi|(W )(I )      |     
3612: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3613: *#       |                       |add |    |    |(TC)(I )      |     
3614: *#       |                       |    |add |    |(RD)(I )      |     
3615: *0000031c|                       |    |    |add |(W )(I )      |     
3616: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3617: *#       |                       |sw  |    |    |(TC)(I )      |     
3618: *#       |                       |    |#   |    |(RD)(TC)      |     
3619: *#       |                       |    |#   |    |(W )(WD)      |     
3620: *00000320|                       |    |sw  |    |(W )(W )      |     
3621: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3622: *#       |                       |addi|    |    |(TC)(I )      |     
3623: *#       |                       |    |addi|    |(RD)(I )      |     
3624: *00000324|                       |    |    |addi|(W )(I )      |     
3625: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3626: */       |                       |bne |    |    |(TC)(I )      |     
3627: *#       |                       |    |bne |    |(RD)(I )      |     
3628: *#       |                       |    |    |bne |(W )(I )      |     
3629: *#       |                       |    |    |    |(I )(I )      |     
3630: *#       |                       |    |    |    |(TC)(I )      |     
3631: *#       |                       |    |    |    |(RD)(I )      |     
3632: *00000308|                       |    |    |    |(W )(I )      |     
3633: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3634: *#       |                       |lw  |    |    |(TC)(I )      |     
3635: *#       |                       |    |#   |    |(RD)(TC)      |     
3636: *#       |                       |    |#   |    |(W )(RD)      |     
3637: *0000030c|                       |    |lw  |    |(W )(W )      |     
3638: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3639: *#       |                       |lw  |    |    |(TC)(I )      |     
3640: *#       |                       |    |#   |    |(RD)(TC)      |     
3641: *#       |                       |    |#   |    |(W )(RD)      |     
3642: *00000310|                       |    |lw  |    |(W )(W )      |     
3643: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3644: *#       |                       |addi|    |    |(TC)(I )      |     
3645: *#       |                       |    |addi|    |(RD)(I )      |     
3646: *00000314|                       |    |    |addi|(W )(I )      |     
3647: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3648: *#       |                       |addi|    |    |(TC)(I )      |     
3649: *#       |                       |    |addi|    |(RD)(I )      |     
3650: *00000318|                       |    |    |addi|(W )(I )      |     
3651: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3652: *#       |                       |add |    |    |(TC)(I )      |     
3653: *#       |                       |    |add |    |(RD)(I )      |     
3654: *0000031c|                       |    |    |add |(W )(I )      |     
3655: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3656: *#       |                       |sw  |    |    |(TC)(I )      |     
3657: *#       |                       |    |#   |    |(RD)(TC)      |     
3658: *#       |                       |    |#   |    |(W )(WD)      |     
3659: *00000320|                       |    |sw  |    |(W )(W )      |     
3660: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3661: *#       |                       |addi|    |    |(TC)(I )      |     
3662: *#       |                       |    |addi|    |(RD)(I )      |     
3663: *00000324|                       |    |    |addi|(W )(I )      |     
3664: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3665: */       |                       |bne |    |    |(TC)(I )      |     
3666: *#       |                       |    |bne |    |(RD)(I )      |     
3667: *#       |                       |    |    |bne |(W )(I )      |     
3668: *#       |                       |    |    |    |(I )(I )      |     
3669: *#       |                       |    |    |    |(TC)(I )      |     
3670: *#       |                       |    |    |    |(RD)(I )      |     
3671: *00000308|                       |    |    |    |(W )(I )      |     
3672: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3673: *#       |                       |lw  |    |    |(TC)(I )      |     
3674: *#       |                       |    |#   |    |(RD)(TC)      |     
3675: *#       |                       |    |#   |    |(W )(RD)      |     
3676: *0000030c|                       |    |lw  |    |(W )(W )      |     
3677: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3678: *#       |                       |lw  |    |    |(TC)(I )      |     
3679: *#       |                       |    |#   |    |(RD)(TC)      |     
3680: *#       |                       |    |#   |    |(W )(RD)      |     
3681: *00000310|                       |    |lw  |    |(W )(W )      |     
3682: *#       |addi   x11, x11, 0x004 |    |    |lw  |(I )(I )      |     
3683: *#       |                       |addi|    |    |(TC)(I )      |     
3684: *#       |                       |    |addi|    |(RD)(I )      |     
3685: *00000314|                       |    |    |addi|(W )(I )      |     
3686: *#       |addi   x12, x12, 0x004 |    |    |    |(I )(I )      |     
3687: *#       |                       |addi|    |    |(TC)(I )      |     
3688: *#       |                       |    |addi|    |(RD)(I )      |     
3689: *00000318|                       |    |    |addi|(W )(I )      |     
3690: *#       |add    x15, x15, x14   |    |    |    |(I )(I )      |     
3691: *#       |                       |add |    |    |(TC)(I )      |     
3692: *#       |                       |    |add |    |(RD)(I )      |     
3693: *0000031c|                       |    |    |add |(W )(I )      |     
3694: *#       |sw     x15, 0x000(x10) |    |    |    |(I )(I )      |     
3695: *#       |                       |sw  |    |    |(TC)(I )      |     
3696: *#       |                       |    |#   |    |(RD)(TC)      |     
3697: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3698: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3699: *#       |                       |    |#   |    |(W )(RU)      |     
3700: *#       |                       |    |#   |    |(W )(WD)      |     
3701: *00000320|                       |    |sw  |    |(W )(W )      |     
3702: *#       |addi   x10, x10, 0x004 |    |    |sw  |(I )(I )      |     
3703: *#       |                       |addi|    |    |(TC)(I )      |     
3704: *#       |                       |    |addi|    |(RD)(I )      |     
3705: *00000324|                       |    |    |addi|(W )(I )      |     
3706: *#       |bne    x11, x13, 0x1fe4|    |    |    |(I )(I )      |     
3707: */       |                       |bne |    |    |(TC)(I )      |     
3708: *#       |                       |    |bne |    |(RD)(I )      |     
3709: *#       |                       |    |    |bne |(W )(I )      |     
3710: *#       |                       |    |    |    |(I )(I )      |     
3711: *#       |                       |    |    |    |(TC)(I )      |     
3712: *#       |                       |    |    |    |(RD)(I )      |     
3713: *00000308|                       |    |    |    |(W )(I )      |     
3714: *#       |lw     x15, 0x000(x11) |    |    |    |(I )(I )      |     
3715: *#       |                       |lw  |    |    |(TC)(I )      |     
3716: *#       |                       |    |#   |    |(RD)(TC)      |     
3717: *#       |                       |    |#   |    |(W )(EP)      |     
3718: *#       |                       |    |#   |    |(W )(ER)      |wr>  
3719: *#       |                       |    |#   |    |(W )(EW)      |  >wr
3720: *#       |                       |    |#   |    |(W )(RR)      |rd>  
3721: *#       |                       |    |#   |    |(W )(RW)      |  >rd
3722: *#       |                       |    |#   |    |(W )(RU)      |     
3723: *#       |                       |    |#   |    |(W )(RD)      |     
3724: *0000030c|                       |    |lw  |    |(W )(W )      |     
3725: *#       |lw     x14, 0x000(x12) |    |    |lw  |(I )(I )      |     
3726: *#       |                       |lw  |    |    |(TC)(I )      |     
